,Company_x,Film,Release,Adjusted,Worldwide,Domestic,Foreign,Rated,Director,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdb,imdbVotes
42,Marvel,Thor: The Dark World,2013,659.433213,644.78314,206.36213999999998,438.421,PG-13,Alan Taylor,,,,54,7.0,"463,848"
43,DC,Man of Steel,2013,683.2241339999999,668.045518,291.045518,377.0,PG-13,Zack Snyder,,,,55,7.1,"592,964"
44,Marvel,Kick-Ass 2,2013,62.177326,60.795984999999995,28.795984999999998,32.0,R,Jeff Wadlow,,,,41,6.6,"221,577"
45,Marvel,Iron Man 3,2013,1243.0559230000001,1215.4399939999998,409.01399399999997,806.426,PG-13,Shane Black,,,,62,7.2,"611,307"
46,Marvel,Guardians of the Galaxy,2014,418.681,418.681,222.28099999999998,196.4,PG-13,James Gunn,,,,76,8.1,"797,105"
47,Marvel,The Amazing Spider-Man 2,2014,708.2192349999999,708.2192349999999,202.778224,505.44101100000006,PG-13,Marc Webb,,,,53,6.7,"355,302"
48,Marvel,Captain America: The Winter Soldier,2014,714.0259,714.0259,259.7089,454.31699999999995,PG-13,"Anthony Russo, Joe Russo",,,,70,7.8,"567,097"
49,Marvel,X-Men: Days of Future Past,2014,744.047433,744.047433,232.485,511.562433,PG-13,Bryan Singer,,,,74,8.0,"569,251"
50,Marvel,Avengers: Age of Ultron,2015,,1405.4036939999999,459.00586799999996,946.397826,PG-13,Joss Whedon,,,,66,7.4,"546,135"
51,Marvel,Ant-Man,2015,,519.311965,180.20216299999998,339.109802,PG-13,Peyton Reed,,,,64,7.3,"396,351"
52,Marvel,Captain America: Civil War,2016,,1153.3044949999999,408.08434900000003,745.220146,PG-13,"Anthony Russo, Joe Russo",,,,75,7.9,"451,386"
53,Marvel,Doctor Strange,2016,,677.718395,232.64192000000003,445.076475,PG-13,Scott Derrickson,,,,72,7.5,"358,456"
54,DC,Batman v Superman: Dawn of Justice,2016,,873.260194,330.360194,542.9,PG-13,Zack Snyder,,,,44,6.6,"505,377"
55,DC,Suicide Squad,2016,,745.600054,3251.000054,20.5,PG-13,David Ayer,,,,40,6.2,"446,021"
